list: """

'Shop Name', 'Opening Times', 'Level'
'ALDI SÜD', 'Von 09:00 bis 20:00', 'Level -1'
'ANKERKRAUT', 'Von 09:30 bis 20:00', 'Level -1'
'APOLLO', 'Von 09:30 bis 20:00', 'Level -1'
'BARTU', 'Von 09:30 bis 20:00', 'Level -1'
'BEARS & FRIENDS', 'Von 09:30 bis 20:00', 'Level -1'
'BIJOU BRIGITTE', 'Von 09:30 bis 20:00', 'Level -1'
'BODY ATTACK', 'Von 09:30 bis 20:00', 'Level -1'
'BRAX', 'Von 09:30 bis 20:00', 'Level 1'
'BUTLERS', 'Von 09:30 bis 20:00', 'Level 0'
'C&A', 'Von 09:30 bis 20:00', 'Level 0'
'CALVIN KLEIN JEANS', 'Von 09:30 bis 20:00', 'Level 0'
'CALZEDONIA', 'Von 09:30 bis 20:00', 'Level 0'
'CAROLA HAIR', 'Von 09:30 bis 20:00', 'Level 1'
'CHANGE', 'Von 09:30 bis 20:00', 'Level 0'
'CHIARA', 'Von 09:30 bis 20:00', 'Level 0'
'CHRIST', 'Von 09:30 bis 20:00', 'Level 0'
'CLAIRE''S', 'Von 09:30 bis 20:00', 'Level 0'
'COMMA', 'Von 09:30 bis 20:00', 'Level 1'
'DEICHMANN', 'Von 09:30 bis 20:00', 'Level -1'
'DM', 'Von 08:00 bis 20:00', 'Level -1'
'DOUGLAS', 'Von 09:30 bis 20:00', 'Level 0'
'EILLES', 'Von 09:30 bis 20:00', 'Level 0'
'E-PLUS & BASE', 'Von 09:30 bis 20:00', 'Level -1'
'ESPRIT', 'Von 09:30 bis 20:00', 'Level 0'
'EYES + MORE', 'Von 09:30 bis 20:00', 'Level 1'
'FATHER & SONS', 'Von 09:30 bis 20:00', 'Level 1'
'FIELMANN', 'Von 09:30 bis 20:00', 'Level 1'
'FOOT LOCKER', 'Von 09:30 bis 20:00', 'Level -1'
'FREENET', 'Von 09:30 bis 20:00', 'Level -1'
'GEPP''S', 'Von 09:30 bis 20:00', 'Level 0'
'GERRY WEBER', 'Von 09:30 bis 20:00', 'Level 1'
'G-FASHION', 'Von 09:30 bis 20:00', 'Level 0'
'H&M', 'Von 09:30 bis 20:00', 'Level 1, 0, -1'
'HAIR2GO', 'Von 09:30 bis 20:00', 'Level 1'
'HALLHUBER', 'Von 09:30 bis 20:00', 'Level 0'
'HIT', 'Von 08:00 bis 20:00', 'Level -1'
'HNL', 'Von 09:30 bis 20:00', 'Level 1'
'HUGENDUBEL', 'Von 09:30 bis 20:00', 'Level 1'
'HUNKEMÖLLER', 'Von 09:30 bis 20:00', 'Level 0'
'I-DÜPFERL', 'Von 09:30 bis 20:00', 'Level -1'
'INTERSPORT SIEBZEHNRÜBL', 'Von 09:30 bis 20:00', 'Level 1'
'INTIMISSIMI', 'Von 09:30 bis 20:00', 'Level 0'
'J&F JUWELIER', 'Von 09:30 bis 20:00', 'Level -1'
'JACK WOLFSKIN', 'Von 09:30 bis 20:00', 'Level 1'
'JOCHEN SCHWEIZER SHOP', 'Von 09:30 bis 20:00', 'Level 0'
'KRASS', 'Von 09:30 bis 20:00', 'Level 1'
'L’OCCITANE', 'Von 09:30 bis 20:00', 'Level 0'
'LACOSTE', 'Von 09:30 bis 20:00', 'Level 0'
'LE CLOU', 'Von 09:30 bis 20:00', 'Level -1'
