list:
"""
'Shop Name','Level','Tags'
'ALDI SÜD','-1','grocery, supermarket, discount'
'ANKERKRAUT','-1','spices, herbs, gourmet'
'APOLLO','-1','optician, eyewear, glasses'
'BARTU','-1','shoes, footwear, fashion'
'BEARS & FRIENDS','-1','candy, sweets, gifts'
'BIJOU BRIGITTE','-1','jewelry, accessories, fashion'
'BODY ATTACK','-1','sports nutrition, supplements, protein'
'BRAX','1','clothing, fashion, accessories'
'BUTLERS','0','home decor, furniture, kitchenware'
'C&A','0','clothing, fashion, affordable'
'CALVIN KLEIN JEANS','0','fashion, jeans, clothing'
'CALZEDONIA','0','lingerie, hosiery, swimwear'
'CAROLA HAIR','1','hair salon, hairdresser, styling'
'CHANGE','0','lingerie, swimwear, womenswear'
'CHIARA','0','fashion, womenswear, accessories'
'CHRIST','0','jewelry, watches, diamonds'
'CLAIRE''S','0','accessories, jewelry, hair'
'COMMA','1','fashion, womenswear, accessories'
'DEICHMANN','-1','shoes, footwear, bags'
'DM','-1','drugstore, cosmetics, household'
'DOUGLAS','0','perfume, makeup, skincare'
'EILLES','0','tea shop, coffee shop, gourmet'
'E-PLUS & BASE','-1','mobile phones, plans, electronics'
'ESPRIT','0','clothing, accessories, home'
'EYES + MORE','1','eyewear, accessories, exams'
'FATHER & SONS','1','menswear, suits, casual'
'FIELMANN','1','eyewear, exams, accessories'
'FOOT LOCKER','-1','shoes, sportswear, accessories'
'FREENET','-1','mobile, plans, electronics'
'GEPP''S','0','gourmet, gifts, kitchen'
'GERRY WEBER','1','womenswear, accessories, shoes'
'G-FASHION','0','clothing, accessories, bags'
'H&M','1,0,-1','clothing, home, affordable'
'HAIR2GO','1','hairstyling, products, beauty'
'HALLHUBER','0','womenswear, accessories, shoes'
'HIT','-1','grocery, fresh, household'
'HNL','1','clothing, accessories, bags'
'HUGENDUBEL','1','books, stationery, gifts'
'HUNKEMÖLLER','0','lingerie, swimwear, nightwear'
'I-DÜPFERL','-1','snacks, candy, beverages'
'INTERSPORT','1','sportswear, shoes, equipment'
'INTIMISSIMI','0','lingerie, sleepwear, swimwear'
'J&F JUWELIER','-1','jewelry, watches, gifts'
'JACK WOLFSKIN','1','outdoor, clothing, footwear'
'JOCHEN SCHWEIZER SHOP','0','experience, gifts, travel'
'KRASS','1','eyewear, accessories, prescription'
'L’OCCITANE','0','skincare, beauty, fragrance'
'LACOSTE','0','clothing, shoes, accessories'
'LE CLOU','-1','jewelry, watches, accessories'
'LEGO STORE','1','LEGO, toys, collectibles'
'LEVI''S','0','denim, clothing, accessories'
'MANGO','0','clothing, accessories, shoes'
'MARC O‘POLO','1','clothing, accessories, home'
'MEDIA MARKT','1','electronics, appliances, gaming'
'MESCH FRISEUR','-1','hair salon, haircare, styling'
'MISTER SPEX','-1','eyewear, accessories, prescription'
'MOBILE POINT','-1','mobile, phones, accessories'
'MORE & MORE','0','clothing, accessories, shoes'
'MÜLLER DROGERIE','0','cosmetics, health, household'
'NANU-NANA','-1','gifts, home decor, accessories'
'NESPRESSO','1','capsules, machines, accessories'
'NEUHAUS PRALINEN','0','chocolate, pralines, truffles'
'O2','1','mobile, phones, contracts'
'OLIVIVA','-1','olive oil, vinegar, gourmet'
'OLYMP','1','menswear, shirts, suits'
'ONLY','-1','womenswear, fashion, clothing'
'PANDORA','1','jewelry, charms, bracelets'
'PAPETERIE BATHELT','-1','stationery, office supplies'
'REZEPTION','0','reception, information, customer'
'S.OLIVER','-1','fashion, clothing, accessories'
'SALAMANDER','1','shoes, footwear, boots'
'SANIPLUS APOTHEKE','-1','pharmacy, health, supplements'
'SCHUH- UND SCHLÜSSELDIENST','0','shoe repair, key cutting, locksmith'
'SCOTCH & SODA','1','fashion, clothing, accessories'
'SERGENT MAJOR','-1','childrenswear, clothing, accessories'
'SIXT AUTO- VERMIETUNG','0','car rental, transportation, booking'
'SKINFRIENDS','1','skincare, beauty, cosmetics'
'SKY','-1','television, satellite, entertainment'
'SNIPES','-1','sneakers, streetwear, sportswear'
'SONNENKLAR REISEBÜRO','Level 1','travel agency, vacations, trips'
'SØSTRENE GRENE','-1','home decor, stationery, crafts'
'STRELLSON','Level 1','menswear, suits, accessories'
'STUDIOLINE PHOTOGRAPHY','1','photography, portraits, services'
'SWAROVSKI','0','jewelry, crystals, accessories'
'TALLY WEIJL','-1','womenswear, fashion, accessories'
'TAMARIS','-1','shoes, footwear, women'
'TEA MOTION','0','tea, beverages, accessories'
'TESTSTATION','-1','testing, COVID-19, health'
'TOM TAILOR','-1','fashion, clothing, accessories'
'TOMMY HILFIGER','0','fashion, clothing, accessories'
'T-PUNKT','-1','telecommunications, mobile, internet'
'TRETTER','0','shoes, footwear, fashion'
'TRIUMPH','1','lingerie, underwear, sleepwear'
'VANNY NAILS','1','nail salon, manicure, pedicure'
'VERO MODA','-1','womenswear, fashion, accessories'
'JACK & JONES','-1','menswear, fashion, accessories'
'VIVIAN WEISS', '1', 'lingerie, womenswear, swimwear'
'VODAFONE', '1', 'telecommunications, mobile, internet'
'VORWERK', '0', 'appliances, cleaning, kitchen'
'WATERDROP', '-1', 'water, hydration, accessories'
'WEINHAUS PALLHUBER', '1', 'wine, spirits, tasting'
'WMF', ' -1', 'cookware, kitchenware, cutlery'
'ZECHBAUER', '-1', 'tobacco, cigars, smoking'
'ZERO', '0', 'fashion, womenswear, accessories'
'21°C ASIA FEINKOST', '-1', 'Asian food, groceries, snacks'
'7CAMICIE', '0', 'shirts, menswear, fashion'
"""

