list: """
''Shop Name', 'Opening Times', 'Level', 'Keywords'
'ALDI SÜD', 'Von 09:00 bis 20:00', 'Level -1', 'grocery, supermarket, discount'
'ANKERKRAUT', 'Von 09:30 bis 20:00', 'Level -1', 'spices, herbs, gourmet, cooking, seasoning'
'APOLLO', 'Von 09:30 bis 20:00', 'Level -1', 'optician, eyewear, glasses, sunglasses, contact lenses'
'BARTU', 'Von 09:30 bis 20:00', 'Level -1', 'shoes, footwear, fashion, accessories, bags'
'BEARS & FRIENDS', 'Von 09:30 bis 20:00', 'Level -1', 'candy, sweets, gummy bears, chocolates, gifts'
'BIJOU BRIGITTE', 'Von 09:30 bis 20:00', 'Level -1', 'jewelry, accessories, fashion, earrings, necklaces'
'BODY ATTACK', 'Von 09:30 bis 20:00', 'Level -1', 'sports nutrition, supplements, protein, vitamins, fitness'
'BRAX', 'Von 09:30 bis 20:00', 'Level 1', 'clothing, fashion, menswear, womenswear, accessories'
'BUTLERS', 'Von 09:30 bis 20:00', 'Level 0', 'home decor, furniture, kitchenware, textiles, gifts'
'C&A', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, fashion, menswear, womenswear, kids, affordable'
'CALVIN KLEIN JEANS', 'Von 09:30 bis 20:00', 'Level 0', 'fashion, jeans, clothing, menswear, womenswear'
'CALZEDONIA', 'Von 09:30 bis 20:00', 'Level 0', 'lingerie, hosiery, swimwear, leggings, fashion'
'CAROLA HAIR', 'Von 09:30 bis 20:00', 'Level 1', 'hair salon, hairdresser, styling, haircare, beauty'
'CHANGE', 'Von 09:30 bis 20:00', 'Level 0', 'lingerie, swimwear, womenswear, bras, panties'
'CHIARA', 'Von 09:30 bis 20:00', 'Level 0', 'fashion, womenswear, clothing, accessories, shoes'
'CHRIST', 'Von 09:30 bis 20:00', 'Level 0', 'jewelry, watches, diamonds, gold, silver'
'CLAIRE''S', 'Von 09:30 bis 20:00', 'Level 0', 'accessories, jewelry, hair, fashion, kids'
'COMMA', 'Von 09:30 bis 20:00', 'Level 1', 'fashion, womenswear, clothing, accessories, shoes'
'DEICHMANN', 'Von 09:30 bis 20:00', 'Level -1', 'shoes, footwear, bags, accessories'
'DM', 'Von 08:00 bis 20:00', 'Level -1', 'drugstore, cosmetics, personal care, household, baby products'
'DOUGLAS', 'Von 09:30 bis 20:00', 'Level 0', 'perfume, makeup, skincare, beauty, accessories'
'EILLES', 'Von 09:30 bis 20:00', 'Level 0', 'tea, coffee, gourmet food, gifts, accessories'
'E-PLUS & BASE', 'Von 09:30 bis 20:00', 'Level -1', 'mobile phones, plans, accessories, prepaid, electronics'
'ESPRIT', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, accessories, shoes, home, kids'
'EYES + MORE', 'Von 09:30 bis 20:00', 'Level 1', 'eyeglasses, sunglasses, contact lenses, eye exams, accessories'
'FATHER & SONS', 'Von 09:30 bis 20:00', 'Level 1', 'menswear, shirts, suits, casual wear, accessories'
'FIELMANN', 'Von 09:30 bis 20:00', 'Level 1', 'eyeglasses, sunglasses, contact lenses, eye exams, accessories'
'FOOT LOCKER', 'Von 09:30 bis 20:00', 'Level -1', 'sports shoes, sneakers, athletic wear, accessories, sportswear'
'FREENET', 'Von 09:30 bis 20:00', 'Level -1', 'mobile phones, plans, accessories, prepaid, electronics'
'GEPP''S', 'Von 09:30 bis 20:00', 'Level 0', 'gourmet food, gifts, kitchen accessories, home, spices'
'GERRY WEBER', 'Von 09:30 bis 20:00', 'Level 1', 'womenswear, clothing, accessories, shoes, bags'
'G-FASHION', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, accessories, shoes, bags, fashion'
'H&M', 'Von 09:30 bis 20:00', 'Level 1, 0, -1', 'clothing, accessories, shoes, home, kids, affordable'
'HAIR2GO', 'Von 09:30 bis 20:00', 'Level 1', 'hairstyling, hair products, hair care, beauty, salon'
'HALLHUBER', 'Von 09:30 bis 20:00', 'Level 0', 'womenswear, clothing, accessories, shoes, bags'
'HIT', 'Von 08:00 bis 20:00', 'Level -1', 'grocery, bakery, fresh produce, household, meat'
'HNL', 'Von 09:30 bis 20:00', 'Level 1', 'clothing, accessories, shoes, bags, fashion'
'HUGENDUBEL', 'Von 09:30 bis 20:00', 'Level 1', 'books, stationery, gifts, e-books, audiobooks'
'HUNKEMÖLLER', 'Von 09:30 bis 20:00', 'Level 0', 'lingerie, swimwear, nightwear, sportswear, accessories'
'I-DÜPFERL', 'Von 09:30 bis 20:00', 'Level -1', 'snacks, candy, sweets, beverages, gifts'
'INTERSPORT SIEBZEHNRÜBL', 'Von 09:30 bis 20:00', 'Level 1', 'sportswear, shoes, equipment, accessories, fitness'
'INTIMISSIMI', 'Von 09:30 bis 20:00', 'Level 0', 'lingerie, sleepwear, loungewear, accessories, swimwear'
'J&F JUWELIER', 'Von 09:30 bis 20:00', 'Level -1', 'jewelry, watches, gifts, accessories, repair'
'JACK WOLFSKIN', 'Von 09:30 bis 20:00', 'Level 1', 'outdoor, clothing, footwear, accessories, equipment'
'JOCHEN SCHWEIZER SHOP', 'Von 09:30 bis 20:00', 'Level 0', 'experience gifts, vouchers, events, travel, adventure'
'KRASS', 'Von 09:30 bis 20:00', 'Level 1', 'eyewear, sunglasses, prescription glasses, contact lenses, accessories'
'L’OCCITANE', 'Von 09:30 bis 20:00', 'Level 0', 'skincare, beauty, fragrance, bath, gifts'
'LACOSTE', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, shoes, accessories, sportswear, fragrances'
'LE CLOU', 'Von 09:30 bis 20:00', 'Level -1', 'jewelry, watches, accessories, gifts, custom'
'LEGO STORE', 'Von 09:30 bis 20:00', 'Level 1', 'LEGO, toys, games, collectibles, gifts'
'LEVI''S', 'Von 09:30 bis 20:00', 'Level 0', 'denim, clothing, shoes, accessories, bags'
'MANGO', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, shoes, accessories, bags, jewelry'
'MARC O‘POLO', 'Von 09:30 bis 20:00', 'Level 1', 'clothing, shoes, accessories, bags, home'
'MEDIA MARKT', 'Von 09:30 bis 20:00', 'Level 1', 'electronics, appliances, gaming, computers, phones'
'MESCH FRISEUR', 'Von 09:30 bis 20:00', 'Level -1', 'hair salon, haircare, styling, color, products'
'MISTER SPEX', 'Von 09:30 bis 20:00', 'Level -1', 'eyewear, sunglasses, prescription glasses, contact lenses, accessories'
'MOBILE POINT', 'Von 09:30 bis 20:00', 'Level -1', 'mobile, phones, accessories, repairs, services'
'MORE & MORE', 'Von 09:30 bis 20:00', 'Level 0', 'clothing, shoes, accessories, bags, jewelry
'MÜLLER DROGERIE', 'Von 09:00 bis 20:00', 'Level 0', 'cosmetics, health, household, toiletries, discount'
'NANU-NANA', 'Von 09:30 bis 20:00', 'Level -1', 'gifts, home decor, accessories, stationery, kitchenware'
'NESPRESSO', 'Von 09:30 bis 20:00', 'Level 1', 'capsules, machines, accessories'
'NEUHAUS PRALINEN', 'Von 09:30 bis 20:00', 'EG', 'chocolate, pralines, truffles, gift boxes'
'O2', 'Von 09:30 bis 20:00', 'Level 1', 'mobile, phones, contracts, internet, accessories'
'OLIVIVA', 'Von 09:30 bis 20:00', 'Level -1', 'olive oil, vinegar, gourmet, food, condiments'
'OLYMP', 'Von 09:30 bis 20:00', 'Level 1', 'menswear, shirts, ties, suits, accessories'
'ONLY', 'Von 09:30 bis 20:00', 'Level -1', 'womenswear, fashion, clothing, accessories, jeans'
'PANDORA', 'Von 09:30 bis 20:00', 'Level 1', 'jewelry, charms, bracelets, rings, necklaces'
'PAPETERIE BATHELT', 'Von 09:30 bis 20:00', 'Level -1', 'stationery, office supplies, cards, pens, paper'
'REZEPTION', 'Von 09:30 bis 20:00', 'Level 0', 'reception, information, customer service, inquiries, assistance'
'S.OLIVER', 'Von 09:30 bis 20:00', 'Level -1', 'fashion, clothing, menswear, womenswear, accessories'
'SALAMANDER', 'Von 09:30 bis 20:00', 'Level 1', 'shoes, footwear, boots, sandals, accessories'
'SANIPLUS APOTHEKE', 'Von 09:00 bis 20:00', 'Level -1', 'pharmacy, health, medicine, supplements'
'SCHUH- UND SCHLÜSSELDIENST', 'Von 09:30 bis 20:00', 'Level 0', 'shoe repair, key cutting, locksmith, services, maintenance'
'SCOTCH & SODA', 'Von 09:30 bis 20:00', 'Level 1', 'fashion, clothing, menswear, womenswear, accessories'
'SERGENT MAJOR', 'Von 09:30 bis 20:00', 'Level -1', 'childrenswear, clothing, fashion, accessories, kids'
'SIXT AUTO- VERMIETUNG', 'Von 09:30 bis 20:00', 'Level 0', 'car rental, vehicles, services, transportation, booking'
'SKINFRIENDS', 'Von 09:30 bis 20:00', 'Level 1', 'skincare, beauty, cosmetics, treatments, products'
'SKY', 'Von 09:30 bis 20:00', 'Level -1', 'television, satellite, entertainment, subscriptions, services'
'SNIPES', 'Von 09:30 bis 20:00', 'Level -1', 'sneakers, streetwear, fashion, shoes, sportswear'
'SONNENKLAR REISEBÜRO', 'Von 09:30 bis 20:00', 'Level 1', 'travel agency, vacations, trips, bookings, holidays'
'SØSTRENE GRENE', 'Von 09:30 bis 20:00', 'Level -1', 'home decor, stationery, crafts, kitchenware, gifts'
'STRELLSON', 'Von 09:30 bis 20:00', 'Level 1', 'menswear, suits, shirts, jackets, accessories'
'STUDIOLINE PHOTOGRAPHY', 'Von 09:30 bis 20:00', 'Level 1', 'photography, portraits, services, photoshoots, prints'
'SWAROVSKI', 'Von 09:30 bis 20:00', 'Level 0', 'jewelry, crystals, accessories, home decor, watches'
'TALLY WEIJL', 'Von 09:30 bis 20:00', 'Level -1', 'womenswear, fashion, clothing, accessories, shoes'
'TAMARIS', 'Von 09:30 bis 20:00', 'Level -1', 'shoes, footwear, women, boots, sandals'
'TEA MOTION', 'Von 09:30 bis 20:00', 'Level 0', 'tea, beverages, accessories, gifts, infusions'
'TESTSTATION', 'Von 09:30 bis 20:00', '-1', 'testing, COVID-19, health, services, diagnostics'
'TOM TAILOR', 'Von 09:30 bis 20:00', 'Level -1', 'fashion, clothing, menswear, womenswear, accessories'
'TOMMY HILFIGER', 'Von 09:30 bis 20:00', 'Level 0', 'fashion, clothing, menswear, womenswear, accessories'
